,Название,Описание,Место
38,Lalaband и Анастасия Русанова,"«Тёплый концерт». Любимое. Уютное. Чувственное.

Друзья, соскучились по весне и теплу?
В таком случае мы хотим пригласить вас на самый уютный и чувственный концерт от наших резидентов — Анастасии Русановой и коллектива LaLaBand!

Успевайте попасть на это эксклюзивное выступление, ведь Анастасия специально прилетит прямиком из Москвы, чтобы согреть ваши души, сердца и уши!

В программе прозвучат самые проникновенные и любимые песни в лаундж, ретро, латино и джазовом форматах!

Исполнители:
Анастасия Русанова — вокал (Москва);
Антон Дерябин — гитара;
Антон Карабут — бас;
Иван Лёшин — барабаны.",Тюменский драматический театр
39,Камерата Сибири. Concerto Grosso,"Исполнители:
Оркестр «Камерата Сибири»;
Художественный руководитель и главный дирижёр — Фаузия Тажина.

В программе:
Concerto Grosso (Большой концерт для оркестра). Прозвучат оркестровые сочинения Баха, Генделя, Вивальди.",Филармония
40,Red Satchel,"Группа Red Satchel существует с 2019 года. В репертуаре группы песни в стиле рок, блюз-рок, рок-н-ролл, исполняются кавер-версии на песни таких исполнителей, как Ванеса Хербек (Vanesa Harbek), Бонни Рэйт (Bonnie Raitt), Сюзен Сантос (Susan Santos), Дженис Джоплин (Janis Joplin) и других. Мощный женский вокал, рёв электрогитары и губная гармошка — то, что заставляет гостей возвращаться на концерты Red Satchel.

Исполнители:
Вокал — Александра Рейн;
Соло гитара — Андрей Созонов;
Бас гитара — Евгений Ряполов;
Ударные — Дмитрий Боровков;
Губная гармоника — Алексей Багичев;
Клавиши — Александр Паращук.

Солистка группы Red Satchel Александра Рейн закончила вокальное отделение Уральской государственной консерватории, дважды была лауреатом Премии губернатора Свердловской области за вклад в развитие искусства, с 2020 года является солисткой Екатерининского оркестра. В составе хулиганской группы Red Satchel, Александра сияет яркой звездой, благодаря своей харизме и мощной энергетике. Музыканты группы также активно участвуют в других музыкальных проектах города Екатеринбурга.

Группа Red Satchel успешно выступает в джаз-клубе Ever Jazz, также концерты проходили на таких площадках как Ben Hall, ProRock бар, Бар Button, Pils Live Bar, Rudolph’s Bar, и также на некоторых площадках в городах Свердловской области. Летом 2024 года группа Red Satchel принимала участие в фестивалях «Движение» и Ural Music Night.",Тюменский драматический театр
41,Видящие сердцем,"В концерте принимают участие:

Тюменский филармонический оркестр
Художественный руководитель и главный дирижёр — Юрий Медяник
Студенты Российской государственной специализированной академии искусств (РГСАИ):
Илья Багаутдинов (саксофон)
Арина Переладова (фортепиано)
Ольга Бендицкая (флейта)
Владимир Гридин (тромбон)
Елена Мартиросова (вокал)

Программа:

1 отделение
К. Дебюсси Рапсодия для саксофона с оркестром
Солист — Илья Багаутдинов
М. Равель Концерт соль мажор для фортепиано с оркестром
Солистка — Арина Переладова

2 отделение
В.-А.Моцарт Концерт № 2 для флейты с оркестром Ре мажор 1 часть
Солистка — Ольга Бендицкая
Н.А. Римский-Корсаков Концерт для тромбона с оркестром
Солист — Владимир Гридин
М. Равель. «Азия» из цикла Три поэмы для голоса с оркестром на стихи Тристана Клингзора в эквиритмическом переводе И. Г. Бродской-Карелиной
Солистка — Елена Мартиросова",Филармония
42,Captown,"Фрешмены Captown — новая школа казахстанского рэпа, хотя участники Captown себя к новой школе причислять не желают — в первую очередь из-за идеологического конфликта. Они предпочитают существовать на стыке поколений — где новый звук встречает старую рэп-этику!

Главная идея — «вывозить за каждую строчку». У каждого участника группы свой музыкальный вкус, при создании треков возникает «конфликт», откуда и рождается и нетривиальное звучание, и потрясающий флоу!

Авторы огромного количества бэнгеров, среди которых: «С любовью», «Разная дрянь», In da club, «Прядь», Gangsta party, «Миллион дел», «Букинг».

Такое лучше не пропускать!

При участии хип-хоп коллективов Екатеринбурга.",Detali.Bar
43,Playtime. К 23 февраля,"Группа Playtime Band — тюменский кавер-бэнд, выступающий на самых разных значимых событиях.

На вечере будет царить атмосфера праздника и тепла! 100% живой звук и отличное настроение обеспечено!

В репертуаре группы проверенные музыкальные композиции — лучшие хиты отечественной и зарубежной эстрады, которые сделают ваш вечер ярким и запоминающимся!

На сцене для вас:

Анастасия Алехина — вокал. С юных лет Анастасия занимается вокалом и выступает на сцене, окончила музыкальную школу по классу фортепиано и эстрадного вокала. Имеет лауреатство за участие во всероссийских и международных конкурсах, а также множество других наград в области вокального искусства. Больше всего в жизни наша вокалистка любит петь и дарить позитивные эмоции своим слушателям.

Дмитрий Симонов — клавиши и вокал. Великолепный клавишник и аккордеонист, захватывающий женскую часть аудитории своей виртуозной игрой. Кроме этого, Дмитрий исполняет исконно мужские песни из репертуара коллектива. Дмитрий — преподаватель игры на фортепиано и аккордеоне, профессиональный музыкант с высшим музыкальным образованием.

Владислав Ардалионов — барабанщик. Барабанами увлёкся в 14. Спустя несколько лет уже плотно занимался этим ремеслом и был участником многих разножанровых музыкальных групп. На данный момент за плечами Влада сотни отыгранных концертов и корпоративных мероприятий по всей России. Владислав работает преподавателем игры на барабанах в музыкальной студии «Лаборатория звука».

Владимир Шестаков — бас-гитарист. Бас-гитарист с огромным стажем, известный музыкант Тюмени. Входит в топ-10 лучших бас-гитаристов России.",Тюменский драматический театр
44,Театр танца «Гжель»,"К 80-летию Победы в Великой Отечественной войне.

Московский государственный академический театр танца «Гжель»

Когда более 30-ти лет назад, в 1988 году, народный артист России, хореограф Владимир Захаров создавал новый танцевальный коллектив, его посетила чрезвычайно плодотворная идея обратиться к русским народным промыслам. Изящество и своеобразие форм декоративных изделий, посуды, неповторимый яркий сине-белый узор определили название и направление развития коллектива. Театр танца «Гжель» словно подхватил эстафету празднично-нарядного мира народного промысла.

Но, сохраняя верность традициям работ Гжели, коллектив столь же успешно стал осваивать и стилистику продукции не менее древних, красочных, уникальных промыслов других регионов: Палеха, Хохломы, Дымкова, Федоскино, Жостова, Богородской игрушки, Костромской скани. Так появились хореографические номера «Сказочная Гжель», «Костромская скань», «Вятская игрушка». Собранные В. Захаровым сведения, фольклорные мотивы и народные образы разных областей легли в основу многих танцев и песенно-танцевальных картинок: «У голубя золотая голова» (Воронежская область), «У нашей Кати» (Воронежская), «Кадриль с проходкой» (Московская), «Волжская плясовая» (Саратовская), «Топотуха» (Владимирская), «Матаня» (Липецкая).

Артисты балета «Гжели» исполняют также «Танцы русских цыган», матросское «Яблочко», плясовую «Барыня» и «Хава-нагила» — как отражение национального многообразия самой России. И номера классического балета. Выпускники лучших хореографических училищ страны составили труппу театра, а неиссякаемая фантазия В. Захарова сформировала уникальный репертуар.

Коллектив активно гастролирует по стране и за рубежом, выступает на престижных столичных площадках. Работы замечательного коллектива восхищают изысканностью хореографических композиций, мастерством исполнителей, задорной музыкой, красотой костюмов.

Многообразие танцев народов России отражено в полюбившихся зрителям номерах: «Мотивы Жостово», «Соловушка прилетал», «Выйду ль я на реченьку», «Зеленая трава», «Еврейский», «Россия вечная», «Сказочная гжель», «Витерец», «Ланце», «Хора Драгости», «Шумел камыш», «Павлово-Посадские узоры», «Виртуозы» и другие.

В ярких красочных шоу, которые представляет Театр танца «Гжель» зрителям, оживают древние легенды, артисты театра языком танца рассказывают о традициях, быте и народных промыслах нашей многонациональной страны.

Театр по праву является культурной визитной карточкой города Москвы. Коллектив активно принимает участие в крупных государственных торжественных мероприятиях, проводимых на Красной площади и главной сцене страны — сцене Государственного Кремлевского Дворца, участвует в государственной программе «Дни Москвы» в регионах России и за пределами нашей страны.

Гастрольная карта театра насчитывает уже более 50 стран, среди которых Китай, Корея, Сербия, Великобритания, Ирландия, Франция и другие страны.

Театр ведёт активную творческую жизнь под руководством директора, заслуженного работника культуры РФ — Марины Куклиной и главного балетмейстера, заслуженного работника культуры РФ, лауреата Государственной премии РФ — Валентины Слыхановой.

Программа:
1 отделение — В. Гаврилин «Дом у дороги», одноактный балет;
2 отделение — «Люблю тебя, моя Россия» блестящий дивертисмент.",Филармония
46,Давайте сохраним,"У каждого композитора всегда есть своя главная песня.

У известного тюменского поэта-песенника, композитора, продюсера Валерия Павловича Серебренникова, безусловно, такая песня — «Давайте сохраним».

Она стала гимном для многих, и в первую очередь, для тех, кто не равнодушен к судьбам природы, судьбе мира на земле. Важное значение для всех нас имеет и сохранение культуры нашего региона.

В концертной программе Валерия Серебренникова «Давайте сохраним!» в исполнении хоровой капеллы Тюменской филармонии прозвучит хоровой цикл на стихи Сергея Есенина.

Ансамбль эстрадного отделения Тюменского колледжа искусств исполнит новое произведение, посвященное чилийскому певцу Виктору Хара, а Театр мюзикла Валерия Серебренникова — первую сцену из нового мюзикла «Аэлита» по мотивам произведения Алексея Толстого.

В концерте также примут участие солисты: Павел Лавренов, Петр Черепанов, Ирина Трифонова, Павел Андреенко, Наталья Середа, Илья Серебренников.",Дворец культуры «Нефтяник»
47,Два дыхания джаза,"Вечер советской музыки.
Денис Давыдов (Екатеринбург, Москва, Пермь) и Группа JAM (Тюмень)

Исполнители:
Резиденты АРТ-кафе ТБДТ — группа Jam:
Никита Похоруков — труба, саксофон, тромбон;
Константин Зернов — контрабас;
Алексей Дубовцев — клавишные;
Месроп Гукасян — ударные;
Денис Давыдов — саксофон.

Саксофонист Денис Давыдов, один из самых востребованных инструменталистов Екатеринбурга, преподаватель, композитор и аранжировщик. Выпускник Московского государственного университета культуры и искусств, заведующий отделением музыкального искусства эстрады в Свердловском музыкальном училище им. П. И. Чайковского. Постоянный участник международных джазовых фестивалей, среди которых Moscow Jazz Festival, Jazz Birds (Москва), «Джаз-лихорадка» (Пермь), EverJazz (Екатеринбург), UralTerraJazz (Камышлов), Усадьба Jazz (Екатеринбург) и др. Организатор джазовых фестивалей и концертов в Екатеринбурге и Перми.
Резидент джаз-клуба Алексея Козлова в Москве.
Сотрудничает с известными российскими музыкантами, такими как Мила Сваровская, Арминэ Саркисян, Билли Новик, Антон Давидянц и другими.",Тюменский драматический театр
48,Камерный оркестр B-A-C-H,"Камерный оркестр B-A-C-H был создан в 1990 году и объединил лучших музыкантов города Екатеринбурга.

За все время своего существования оркестр стал участником более чем 90 международных фестивалей в России и Европе, культурных акций ЮНЕСКО и UNICEF (в России и Италии), провёл многочисленные гастрольные турне по Германии, Австрии, Швейцарии, Нидерландам, Франции, Бельгии, Италии, Испании, Мексике, о. Тайвань.

С оркестром B-A-C-H работали многие российские и зарубежные дирижёры, такие как М. Кац (Франция), Л. Маркиз (Нидерланды), С. Фридман (Швейцария), Й. Радке (Германия), Д. Менье (Бельгия), С. Дьяченко (Россия-Италия), В. Усминский (Россия), Т. Мынбаев (Россия), Ф. Глущенко (Россиия), А. Скульский (Россия), Ф. Коробов (Россия).

Репертуарный диапазон оркестра чрезвычайно широк: от шедевров мировой классики (Гендель и Бах, Корелли и Вивальди, Моцарт и Гайдн), русской и зарубежной музыки XIX века — до сочинений композиторов ХХ века (И. Стравинский, Д. Шостакович, А. Шёнберг, С. Барбер, Д. Бриттен, В. Сильвестров, Э. Денисов, Б. Чайковский, а также уральские композиторы).

Большим успехом пользуются эксклюзивные программы оркестра — переложения произведений, написанных для разных составов, джазовых композиций, сочинений в стиле кантри и даже шедевров рок-культуры: программа «Волшебство Queen», получившая одобрение Queen Records Ltd; «Волшебное цветение сакуры», «Этот безумный, безумный мир», «Сказки венского леса», «Музыка и кино», «Аромат танго».

Оркестр В-А-С-Н проводит около 80 концертных выступлений в год, записывает компакт-диски, имеет фондовые записи на радио и телевидении.

Обширный репертуар, высочайший исполнительский уровень, сотрудничество с музыкантами мирового масштаба сделали оркестр «В-А-С-Н» признанным в России и Европе.

Главный дирижер оркестра — Николай Усенко.

Программа:
—«Бурлеск и Эхо. Контрасты и Отражения»;
—Antonio Vivaldi Ouverture Farnace RV 711;
—Antonio Vivaldi Concerto d-moll RV 129 Madrigalesco;
—TarquinioMerula Cniaccona op. 12 No 20;
—Johann Sebastian Bach Contrapunctus11 Die Kunst der Fuge BWV 1080;
—Georg Philipp Telemann Ouverture burlesque TWV 55:B8;
—Bernard Herrmann String quartet Echo.

Ведущая — Ирина Винкевич.",Филармония
49,Тюменский филармонический оркестр. Ян Фанг,"Исполнители:
Тюменский филармонический оркестр;
Художественный руководитель и главный дирижёр — Юрий Медяник;
Солист — Ян Фанг (фортепиано, Китай).

В программе:
Инь Чэнцзун, Чу Ванхуа — Фортепианный концерт «Хуанхэ» («Жёлтая река»);
Люй Цимин — Симфоническая увертюра «Ода красному флагу».

«Господин Фанг — зрелый и авторитетный исполнитель, в котором сочетаются властное владение инструментом и творческая и личная музыкальность» Джером Ловенталь.

Ян Фанг получил магистерскую степень в области фортепианного исполнительского искусства в Джульярдской школе (Нью-Йорк, США) под руководством Джерома Ловенталя и Хунг-Куан Чэня. Ян также учился у Мён-Джу Ли в Колбернской школе (Лос-Анджелес) в рамках программы предвузовской подготовки. Там же он поработал с Жан-Ивом Тибоде. Позже Фанг получил степень бакалавра музыки под руководством Александра Корсантии в Консерватории Новой Англии. С осени этого года Ян начнёт обучение в Манхэттенской музыкальной школе под руководством Ефима Бронфмана как первый кандидат на AD (Artist Diploma, годовой интенсивный курс для особо одаренных студентов) по классу фортепиано за последние 7 лет.

Ян завоевал множество престижных наград на крупных национальных и международных фортепианных конкурсах. Среди его достижений:
— золотая медаль Международного конкурса к 200-летию Шопена;
— I приз конкурса Cheer Taiwan International Music Competition;
— II место конкурсе Steinway Concerto в Лос-Анджелесе;
— Гран-при фортепианного конкурса Honors NEC (Консерватории Новой Англии);
— серебряная медаль V Гулансюйского молодежного фортепианного фестиваля;
— участник Международного конкурса Leeds Piano Competition 2021 и XVII Международного конкурса им. Чайковского.",Филармония
50,Новоорлеанский фан и соул 60-х годов,"Jackie Brown — команда из Екатеринбурга играющая инструментальный новоорлеанский фанк и соул 60-х годов!

Пульсирующие и аутентичные ритмы с винтажным ламповым звучанием инструментов — все это создает ту самую энергетику, когда зритель поневоле начинает двигаться в такт с музыкантами.

Уникальное звучание группы является результатом их мастерской игры и приверженности традиционным звучаниям новоорлеанского фанка. Их живые выступления — это электризующие заряды, передающие энергию фанка всему залу.

Состав участников:
Андрей Абатуров — губная гармоника
Дмитрий Шарко — гитара
Ирина Борисенко — ударные
Влад Михляев — бас гитара",Тюменский драматический театр
51,Казян,"Его текста наполняют яркие эпитеты, будоражащие сознание образы и простой уличный фольклор, направленный на развитие духовных ценностей и созидание новой действительности.",Дом печати
52,Лундстрем трио,"Концерт в рамках первого фестиваля камерной музыки имени Ары Грачиковича Богданяна.

Фестиваль камерной музыки носит имя выдающегося музыканта, преподавателя по классу скрипки, заслуженного деятеля искусств РФ, профессора кафедры скрипки Московской государственной консерватории им. Чайковского Ары Грачиковича Богданяна, внесшего огромный вклад в развитие отечественной педагогики и исполнительского искусства.

Фестиваль посвящён исполнительскому искусству игры на скрипке — инструменту, являющемуся основой камерного ансамбля.

Исполнители:
Мария Воскресенская (фортепиано);
Леонид Лундстрем (скрипка);
Владимир Нор (виолончель).

Программа концерта «Два взгляда на русскую историю»:
Шостакович — Трио № 2 ор. 67 ми минор;
Шебалин — Трио ля мажор.

Продолжительность концерта: 1 час 30 минут с антрактом.",Филармония
53,Рок-классика Rock-Accorda,"Драйв рок-хитов в исполнении группы Rock-Accorda!

Это контраст классических инструментов и рок-музыки!

Классические зарубежные рок-хиты в инструментальном исполнении, а именно: Metallica, Deep Purple, Queen, Roxette, Scorpions, Beatles, Muse, Nirvana, Sistem Of Dawn, Keane, Cranberries, Linkin Park, Korn, Pink Floyd, Led Zeppelin.

Вы почувствуете яркие эмоции на концерте Rock-Accorda!

Исполнители:
Ксения Вецак — клавиши;
Даниил Баранов — скрипка;
Павел Раменский — альт;
Эдуард Пузин — виолончель;
Евгений Кроетору — ритм / соло гитара;
Александр Стацура — бас;
Леонтий Полевик — ударная установка.",Тюменский драматический театр
54,Трио Даниила Крамера,"Исполнители:
Трио Даниила Крамера;
Даниил Крамер — фортепиано;
Мари Карне — вокал.",Филармония
55,Струнное трио артистов ТФО,"Фестиваль камерной музыки им. Ары Грачиковича Богданяна.

Фестиваль камерной музыки носит имя выдающегося музыканта, преподавателя по классу скрипки, заслуженного деятеля искусств РФ, профессора кафедры скрипки Московской государственной консерватории им. Чайковского Ары Грачиковича Богданяна, внесшего огромный вклад в развитие отечественной педагогики и исполнительского искусства.

I фестиваль посвящён исполнительскому искусству игры на скрипке — инструменту, являющемуся основой камерного ансамбля.

Концерт струнного трио артистов ТФО.

Состав:
Александр Кащеев — скрипка;
Армине Назарян — виолончель;
Ксения Кащеева — фортепиано.

В программе:
Бабаджанян — Трио для скрипки, виолончели и фортепиано фа диез минор;
Хачатурян — Адажио из балета «Спартак» (переложение для трио);
Хачатурян — Танец с саблями из балета «Гаянэ» (переложение для трио);
Хачатурян — Песня-поэма для скрипки и фортепиано.",Филармония
56,"Пара, но я","Игра слов в названии моноспектакля — это подсказка к тому, что зритель увидит на сцене.

Сюжет довольно прост: молодой человек любит девушку и собирается сделать ей предложение. В его фантазиях всё уже создано: дом, семья, путешествия и новая жизнь! Но, оказывается, для того чтобы всё сбылось, нужно иметь не только хорошую фантазию и крепкое воображение, но и предпринять конкретные действия для воплощения планов. У каждого действия есть последствия и у бездействия, к сожалению, тоже...

Спектакль о молодости — безалаберной и восторженной, о человечности — осмысленной и ограниченной, о любви — простой и неказистой, у которой не попросить прощения!",Тюменский драматический театр
57,Люди театра и его закулисье,"Увидеть наш театр изнутри, да ещё в ночное время — такая уникальная возможность есть у наших зрителей!

Кто лучше всех знает, как работает театр? Правильно, наш директор!

«Люди театра и его закулисье» — так называется часовая экскурсия. Её участники побывают там, куда обычно зрителей не пускают. Светоцех, звукоцех, наша костюмерная, помещения, где хранятся куклы и декорации, бутафорский цех и, конечно же, закулисье.

К участию в экскурсии допускаются только лица достигшие возраста 16 лет!",Театр кукол
58,Каренин А.,"Пьеса Романа Габриа, написанная специально для Тюменского Большого драматического театра, является театральной инсценировкой романа Льва Толстого «Анна Каренина». В основе пьесы подлинный толстовский текст и ставшие уже легендой персонажи: Алексей и Анна Каренины, Стива и Долли Облонские, Вронский, Бетси Тверская.

Наш спектакль — взгляд с иного ракурса на всем известную историю. Жизнь Анны пройдет перед зрителями, увиденная глазами обманутого супруга — Алексея Каренина. И раскроется еще одна драма — любовь мужа, пытающегося отстоять свою семью, свое счастье.

Образ Каренина у Льва Толстого — это человек–машина, чиновник высокого ранга, высоколобый и бесчувственный. Режиссер Роман Габриа убирает этот стереотип — в нашем спектакле Алексей Каренин человечен, мы увидим его в счастье и в страдании. Увидим его настоящим, неподдельно любящим, оскорбленным тем, что обманут.

Спектакль «Каренин А.» — это рассказ о человеке, который нашёл в себе силы простить. Прощение не ограничивает ничью свободу, не делит людей на правых и неправых; это духовная сила, которая превращает зло в добро, ревность в любовь, страдание в сострадание...",Тюменский драматический театр
59,Игра,"Лазерное неоновое пиксельное шоу для всей семьи. Мир лазерных лучей, неоновых линий, вспышек пикселей и летающих светящихся шаров.

Станьте участниками удивительной истории!

Игра о том, что общаться не в сети тоже интересно и весело.
— Переписываться с незнакомцами в интернете и открывать ссылки небезопасно
— Учить уроки стоит, ведь знания обязательно пригодятся
— Вместе можно решить любую задачу
— Нужно слушать маму и держать слово
— Реальные, не виртуальные друзья всегда помогут
— Помогать тем, кто попал в беду — это круто!

Что ребятам нужно будет сделать в ходе шоу:
1. Составить карту для потерянных пикселей. На пути нашему герою встречаются Потерянные Пиксели. Герои в ярких светодиодных костюмах. Эти необычные создания потерялись и не могут найти дорогу домой. И тут на помощь приходят наши юные зрители!
2. Научить братьев Пру и Жина танцевать. Братья Пру и Жин, забавные герои, брат и сестра, в объемных костюмах, напоминающих разноцветные соединенные пружины. Жин капризничает и не хочет заниматься зарядкой вместе с Пру, из-за этого они постоянно ругаются с братом. Зрителям придется потанцевать вместе с ними, чтобы они помирились.
3. Помочь Неонам освободить светящиеся шары, научив их летать. В следующем уровне Тёма встречает Неонов — ярких и любимых всеми персонажей. Чтобы выполнить очередное задание, ребятам нужно будет научить гигантские светящиеся шары летать, зрителям предстоит подбрасывать их к самому потолку!
4. Зарядить базовую станцию Лазермэна. В уровне номер 4 на сцене появляется Лазермэн, этот персонаж в светящемся костюме управляет лазерами, его станция разрядилась и ребятам предстоит её зарядить.
5. Создать ансамбль световых барабанщиков. В финале шоу ребята познакомятся со Световыми Барабанщиками, оценят их светодиодные горящие разными цветами костюмы и барабаны, научат их играть вместе, дружно хлопая в ладоши замысловатые ритмы.

Дети до 4-х лет бесплатно, без предоставления отдельного места.",ДК «Железнодорожник»
60,День во дворце,"Дворец культуры «Нефтяник» — это многофункциональный комплекс, предназначенный для воплощения в жизнь самых сложных спектаклей, концертов, показов, танцевальных и развлекательных мероприятий, шоу-программ.

По своему техническому оснащению Дворец культуры «Нефтяник» является уникальным и не уступает лучшим залам России!

Большой концертный зал вмещает 922 зрителя, при этом, его можно быстро и без ущерба для интерьера трансформировать в конференц-зал, подиум, танцевальную площадку или диско-зал.

Малый зал — ощутите себя гостем старых кинотеатров!

Мраморный зал — гордость нашего Дворца! Шикарные интерьеры зала перенесут вас в эпоху балов, эпоху благородных дам и господ.

Танцевальный зал — это танцевальный паркет площадью 400 кв.метров! Зеркала вдоль стен и красивые люстры...

Перед посещением просим вас предварительно связаться с нами: 28-32-29 и 28-32-33, 28-32-27 и 28-32-63.

Бесценные эмоции, шикарные виды, заряд энергии и море положительных впечатлений прилагаются к каждому уголку нашего Дворца!",Дворец культуры «Нефтяник»
62,Испанская баллада,"Спектакль рассказывает трагическую историю о страстной и запретной любви короля Кастилии Альфонсо и юной еврейки Ракель, которая переворачивает ход исторических событий средневековой Испании. За воротами королевского дворца плетутся политические заговоры и интриги. Любовь женатого короля — грех, а страданиями обманутой королевы и заботой о благополучии королевства можно оправдать любые жертвы.",Тюменский драматический театр
63,Волшебные фокусы,"Впервые в Тюмени! Уважаемые, тюменцы и гости города!

Приглашаем всех на семейное интерактивно-развлекательное шоу «Волшебные фокусы». В гостях у сказки в театре, где живет волшебник! Погрузитесь всей семьей в удивительную атмосферу в театре, где происходят чудеса!

А приглашает вас к себе в гости профессиональный фокусник, знаток и умелец волшебного искусства Сергей Кораблёв.

Программа шоу:
— Вы увидите фокусы с монетами, игральными картами, веревками, китайскими кольцами, лентами, платками, шариками.
— Зрители принимают непосредственное участие в волшебстве.
— И что удивительно, фокусы получаются у них в руках.",Театр фокусников
64,Бобик в гостях у Барбоски,"Как славно пригласить своего приятеля в гости, немного прихвастнуть перед ним: а вот у меня есть то, сё, а я могу вот так и вот эдак. Хорошо мне, одним словом!

А как весело и забавно можно поиграть с гостем, не церемонясь с заведёнными порядками, ведь ты — хозяин всего, на данный момент, по крайней мере ... Все авторитеты сдвинуты, фантазия и азарт выпущены на волю и ветер вседозволенности лихо гонит их вперёд!

Когда игра заканчивается, приходит неминуемое наказание, а с ним — осознание очень важных вещей: что такое настоящая свобода и ответственность. Неважно, что герои нашего спектакля — дворовый и домашний пёсики, на их месте с успехом могли бы оказаться обычные мальчишки и девчонки.",Театр кукол
65,Магическое путешествие,"Это интерактивное представление в движущемся поезде с погружением в тематику. В компании персонажей из «Гарри Поттера» и Полярных жителей вас ждёт удивительное путешествие в мир магии и волшебства. Каждый пассажир получит волшебную палочку и незабываемые эмоции.

Садитесь в наш волшебный поезд и отправляйтесь в Магическое путешествие с Полярными жителями.

Приготовьтесь погрузиться в атмосферу северного сияния и волшебства, где природа и магия соединяются в одно целое!

Что вас ждёт?
Интерактивная программа в настоящем поезде;
Подарки, угощения и сюрпризы;
Зажигательные танцы;
Новогодняя рыбалка с Йети;
Зачисление на факультеты Хогвартса;
Вагонный квиддич;
Уроки волшебства;
Тематические фокусы и научные эксперименты;
Более 10 персонажей в исполнении профессиональных актёров.

Поездка пройдёт в комфорте и безопасности. На поезде не будет посторонних. Он арендован только для путешественников Магического Путешествия. Во время путешествия мы приезжаем из пункта А в Б и едем обратно.

Детям, которые поедут без родителей, помогут администраторы. Наши администраторы будут следить за детьми во время поездки, а когда поезд вернётся — проводят до встречающих.

Как мы работаем:
Встречаемся на вокзале. За 30 минут до отправления на Железнодорожном вокзале вас встретят координаторы, которые помогут зарегистрироваться и выдадут бумажные билеты;

Рассаживаемся по местам. После регистрации вас проводят к вагонам, где пассажиров встретят актёры и пригласят занять места;

отправляемся в путешествие. Во время поездки пассажиры становятся частью программы и взаимодействуют с героями. На протяжении всей поездки идёт программа, герои сменяются один за другим. Вас ждут фокусы, эксперименты, активные игры, необычный квиддич и многое другое!;

Возвращаемся домой. Поезд едет по пригородной станции и обратно.",Железнодорожный вокзал
66,Алиса,"Масштабный хореографический спектакль. История, основанная на всемирно известной истории, но в собственном прочтении. «Алиса. Детская сказка для взрослых».",Тюменский драматический театр
67,Никита Шевчук,"Никита Шевчук — стендап-комик из ваших риллсов. Цепляет своей откровенностью и комедийным подходом. Его любят за интеллект и душевность, на его концертах царит атмосфера искренности и непосредственности.

В концерте «Без обид» звучат шутки, которых еще нет в интернете, вы точно их не видели.",ДК «Железнодорожник»
68,Игорь Еговцев. Грю Шоу и Стендап,"Грю Шоу — это импровизационный комедийный формат мероприятия. Гости рассказывают свои истории, а комик Игорь Еговцев разгоняет их в моменте со зрителями и совместно делают их смешнее.

Если у вас в жизни происходила весёлая история или происшествие — то это лучший момент рассказать еë и посмеяться в большой компании.

Игорь Еговцев стендап-комик, один из организаторов стендап-движения в Тюмени, участник шоу «Открытый микрофон» на ТНТ.

Входные билеты не привязаны к определенному столику или месту, но менеджер зала комфортно разместит вас в порядке очереди. Также возможно размещение с другими гостями за одним столом, поэтому если вы идете компанией, рекомендуем приобретать билеты одним заказом на всех.

Стоимость еды и напитков оплачивается отдельно.

Вниманий! Сбор гостей за 30 минут до начала мероприятия!",Цоколь
69,Ч-чайка,"Сегодня, когда театр для зрителя давно уже сумма всевозможных эстетик — вербальных, танцевальных, любых. Когда театр заполнен медиа-цифровыми технологиями и различными около культурными коллаборациями — особо интересно вернуться к программной пьесе Антона Павловича Чехова «Чайка».

Первая «новая драма». Спотыкаясь о неё, двигался весь театр XX века. От Станиславского до Бутусова, Крымова и дальше. Десятки новаторов в лице все новых и новых Треплевых кричали, что нужны «новые формы»! О чём был этот крик? Ведь Костя любит Нину, Нина любит Борю, Маша любит Костю, а Полина любит Женю. Интерпретации бесконечны.

Пять пудов любви Чеховской «Чайки» в новой постановке или сон сына о потерянной матери.

С одним антрактом.",Тюменский драматический театр
70,Наш городок,"«Наш городок» — самая знаменитая пьеса американского прозаика и драматурга Торнтона Уайлдера. Написанная в 1938 году, она в том же году была удостоена Пулитцеровской премии.

Сам Торнтон Уайлдер говорил о пьесе: «Это простая пьеса, в которой присутствуют все сложные темы; и это сложнейшая пьеса, где я с любовью рассказываю о простейших вещах на свете». В ней, как и во всех своих произведениях, Уайлдер пытается проникнуть в тайный смысл сущего, разобраться в причинно-следственных связях человеческого бытия. В пьесе действие разворачивается с 1901 по 1913 год в американском провинциальном городке. В этом городке — таком же, как и многие-многие другие по всему миру — не происходит ничего на первый взгляд выдающегося. Но время идёт, и жизнь, единственная и неповторимая, уходит вместе с ним.

«Наш городок» исследователи называют одной из сложнейших пьес ХХ века. Возможно ли жить, полноценно ощущая каждое мгновение жизни? Как не стать рабом ежедневного быта? Как услышать своё сердце и выбрать единственно правильный путь? Можно ли изменить собственную судьбу? Справедлива ли смерть? Справедлива ли жизнь? На эти, казалось бы, простые вопросы ответить оказывается довольно трудно, а иногда и невозможно.

В состав исполнителей могут быть внесены изменения без дополнительного уведомления.",Тюменский драматический театр
